6561
12800
12720
320

0 : < 0, 1 >
1 : < 0.0125, 1 >
2 : < 0.025, 1 >
3 : < 0.0375, 1 >
4 : < 0.05, 1 >
5 : < 0.0625, 1 >
6 : < 0.075, 1 >
7 : < 0.0875, 1 >
8 : < 0.1, 1 >
9 : < 0.1125, 1 >
10 : < 0.125, 1 >
11 : < 0.1375, 1 >
12 : < 0.15, 1 >
13 : < 0.1625, 1 >
14 : < 0.175, 1 >
15 : < 0.1875, 1 >
16 : < 0.2, 1 >
17 : < 0.2125, 1 >
18 : < 0.225, 1 >
19 : < 0.2375, 1 >
20 : < 0.25, 1 >
21 : < 0.2625, 1 >
22 : < 0.275, 1 >
23 : < 0.2875, 1 >
24 : < 0.3, 1 >
25 : < 0.3125, 1 >
26 : < 0.325, 1 >
27 : < 0.3375, 1 >
28 : < 0.35, 1 >
29 : < 0.3625, 1 >
30 : < 0.375, 1 >
31 : < 0.3875, 1 >
32 : < 0.4, 1 >
33 : < 0.4125, 1 >
34 : < 0.425, 1 >
35 : < 0.4375, 1 >
36 : < 0.45, 1 >
37 : < 0.4625, 1 >
38 : < 0.475, 1 >
39 : < 0.4875, 1 >
40 : < 0.5, 1 >
41 : < 0.5125, 1 >
42 : < 0.525, 1 >
43 : < 0.5375, 1 >
44 : < 0.55, 1 >
45 : < 0.5625, 1 >
46 : < 0.575, 1 >
47 : < 0.5875, 1 >
48 : < 0.6, 1 >
49 : < 0.6125, 1 >
50 : < 0.625, 1 >
51 : < 0.6375, 1 >
52 : < 0.65, 1 >
53 : < 0.6625, 1 >
54 : < 0.675, 1 >
55 : < 0.6875, 1 >
56 : < 0.7, 1 >
57 : < 0.7125, 1 >
58 : < 0.725, 1 >
59 : < 0.7375, 1 >
60 : < 0.75, 1 >
61 : < 0.7625, 1 >
62 : < 0.775, 1 >
63 : < 0.7875, 1 >
64 : < 0.8, 1 >
65 : < 0.8125, 1 >
66 : < 0.825, 1 >
67 : < 0.8375, 1 >
68 : < 0.85, 1 >
69 : < 0.8625, 1 >
70 : < 0.875, 1 >
71 : < 0.8875, 1 >
72 : < 0.9, 1 >
73 : < 0.9125, 1 >
74 : < 0.925, 1 >
75 : < 0.9375, 1 >
76 : < 0.95, 1 >
77 : < 0.9625, 1 >
78 : < 0.975, 1 >
79 : < 0.9875, 1 >
80 : < 1, 1 >
81 : < 0, 0.9875 >
82 : < 0.0125, 0.9875 >
83 : < 0.025, 0.9875 >
84 : < 0.0375, 0.9875 >
85 : < 0.05, 0.9875 >
86 : < 0.0625, 0.9875 >
87 : < 0.075, 0.9875 >
88 : < 0.0875, 0.9875 >
89 : < 0.1, 0.9875 >
90 : < 0.1125, 0.9875 >
91 : < 0.125, 0.9875 >
92 : < 0.1375, 0.9875 >
93 : < 0.15, 0.9875 >
94 : < 0.1625, 0.9875 >
95 : < 0.175, 0.9875 >
96 : < 0.1875, 0.9875 >
97 : < 0.2, 0.9875 >
98 : < 0.2125, 0.9875 >
99 : < 0.225, 0.9875 >
100 : < 0.2375, 0.9875 >
101 : < 0.25, 0.9875 >
102 : < 0.2625, 0.9875 >
103 : < 0.275, 0.9875 >
104 : < 0.2875, 0.9875 >
105 : < 0.3, 0.9875 >
106 : < 0.3125, 0.9875 >
107 : < 0.325, 0.9875 >
108 : < 0.3375, 0.9875 >
109 : < 0.35, 0.9875 >
110 : < 0.3625, 0.9875 >
111 : < 0.375, 0.9875 >
112 : < 0.3875, 0.9875 >
113 : < 0.4, 0.9875 >
114 : < 0.4125, 0.9875 >
115 : < 0.425, 0.9875 >
116 : < 0.4375, 0.9875 >
117 : < 0.45, 0.9875 >
118 : < 0.4625, 0.9875 >
119 : < 0.475, 0.9875 >
120 : < 0.4875, 0.9875 >
121 : < 0.5, 0.9875 >
122 : < 0.5125, 0.9875 >
